file	verdict	code	stages	steps	detail
netcorebcn_quiz.Jenkinsfile	ok	-	4	4	-
nikoly_selenium-grid-docker.Jenkinsfile	ok	-	3	2	-
ocf_ircbot.Jenkinsfile	scripted-ok	-	1	1	-
ocf_ocflib.Jenkinsfile	scripted-ok	-	1	1	-
ocf_ocfweb.Jenkinsfile	scripted-ok	-	1	1	-
ocf_slackbridge.Jenkinsfile	scripted-ok	-	1	1	-
pavankjadda_BookStore.Jenkinsfile	ok	-	9	8	-
pawnu_PythonSecurityPipeline.Jenkinsfile	ok	-	9	26	-
planetpratik_CMake-Jenkins-CPP.Jenkinsfile	ok	-	5	0	-
prashantgohel321_DevOps-Project-Two-Tier-Flask-App.Jenkinsfile	ok	-	3	4	-
qiuhuanhen_springboot-DDD.Jenkinsfile	ok	-	6	22	-
releaseworks_hellonode.Jenkinsfile	scripted-ok	-	1	4	-
restalion_python-jenkins-pipeline.Jenkinsfile	ok	-	13	24	-
ricardozanini_soccer-stats.Jenkinsfile	scripted-err	malformed_syntax	-	-	, '>', '>=', '?', '?.', '?:', '[', 'instanceof', '{', '||' or '}' @11:16
rmkanda_secure-pipeline-java-demo.Jenkinsfile	ok	-	19	38	-
roryeckel_codex-jenkinsfile.Jenkinsfile	ok	-	5	9	-
rosineygp_mkdkr.Jenkinsfile	err	malformed_syntax	-	-	'options', 'parameters', 'post', 'stages', 'tools', 'triggers' or '}' @6:28
saidsef_alpine-jenkins-dockerfile.Jenkinsfile	ok	-	2	1	-
saidsef_jenkins-pipeline-examples.Jenkinsfile	scripted-ok	-	11	15	-
shazforiot_Jenkins-integration-with-kubernetes.Jenkinsfile	ok	-	4	5	-
shipping-docker_simple-jerkins.Jenkinsfile	scripted-ok	-	1	4	-
sidd-harth_apigee-cicd.Jenkinsfile	ok	-	5	29	-
sixeyed_jenkins-pipeline-demos.Jenkinsfile	ok	-	1	2	-
stakater_GitWebhookProxy.Jenkinsfile	scripted-ok	-	2	2	-
tknerr_jenkins-pipes-helloworld.Jenkinsfile	scripted-ok	-	1	5	-
tomasbjerre_bitbucket-server-jenkins-release-tags.Jenkinsfile	scripted-ok	-	1	7	-
varunpalekar_php-ci-cd.Jenkinsfile	ok	-	7	38	-
vineet68sharma_CI-CD-Docker.Jenkinsfile	scripted-ok	-	21	11	-
vinsguru_docker-selenium-jenkinsfile.Jenkinsfile	ok	-	3	1	-
vskurikhin_DayBook3.Jenkinsfile	ok	-	4	7	-
wanghaoxi3000_advproject.Jenkinsfile	ok	-	3	6	-
wildec2_java-selenium-framework.Jenkinsfile	ok	-	2	1	-
yashpimple_Jenkins-CI-CD-with-GitHub-Integration.Jenkinsfile	ok	-	4	5	-
zhangjian-ai_AutomationTestPlat.Jenkinsfile	ok	-	4	12	-
zowe_jenkins-library.Jenkinsfile	scripted-ok	-	28	18	-
